"vcfID","C19_STAND_BLUE","C19_DTP_BLUE","C19_EH_BLUE","C19_PH_BLUE","C19_FL_BLUE","C19_TE_BLUE","C19_TIL_BLUE","C19_LA_BLUE","C19_EL_BLUE","C19_EW_BLUE","C19_KRN_BLUE","C19_Germ_BLUE","C19_STAND_BLUP","C19_DTP_BLUP","C19_EH_BLUP","C19_PH_BLUP","C19_FL_BLUP","C19_TE_BLUP","C19_TIL_BLUP","C19_LA_BLUP","C19_EL_BLUP","C19_EW_BLUP","C19_KRN_BLUP","C19_Germ_BLUP"
"ARZM_21_009",9.90361363237732,52.1431118519859,26.6395701969923,136.944840422773,103.02939822834,33.9678660020185,2.60977363063438,55.9782600429384,102.671661587151,28.0698633130014,10.521190605955,76.6607494841993,9.47652796423162,53.4985976148438,27.5957538820525,137.642832018138,103.737817806965,33.9959310479884,2.25539057350605,53.5204926855371,106.686461820804,29.1431271409932,10.9599034156211,72.8213519726656
"ARZM_21_013",10.4844583540537,51.5139048972247,34.8488808703594,153.269583225158,109.102222472627,44.4726170110176,2.44764646955077,47.0143974330979,138.155740601266,34.0859369256783,9.54327577173261,80.6550465952055,9.91728300840679,52.9619241024432,34.869253935735,152.543122086971,109.150393651772,42.0988504593101,2.19786295615174,46.5795276850796,136.160153988849,33.9767182416161,10.0899705851862,76.0646052186637
"ARZM_21_014",NA,63.1909371220621,40.1188936642828,136.884587111733,97.9850960924788,38.598534276189,1.61145771408059,29.2852386952431,132.434249033534,48.999056854738,18.9208419110691,1.02843846095976,NA,61.6627406860133,38.9676551577855,138.157126892529,100.186459066893,36.9076615254786,1.5609352033305,34.5414268854965,129.801682875717,44.3182104987506,17.3624855465068,18.4394066233028
"ARZM_21_018",4.54598236825388,67.2695125054057,68.0356718029664,189.863446535041,151.496455322253,38.3634160598663,2.02519306925454,45.0149895411327,129.430373032748,37.8629674676003,12.5821723807,35.000941191315,5.29728509075557,65.5995099199814,63.8388052914851,186.017839016576,147.587553539884,37.3010591402414,1.84629047934791,44.7904980843624,128.877383070733,37.1657160931879,12.7188205150013,39.1843361154412
"AS11",9.48445835405373,62.5139048972247,39.3488808703594,157.269583225158,126.102222472627,31.4726170110176,0.447646469550773,37.0143974330979,88.1557406012662,28.0859369256783,11.0432757717326,72.9550465952054,9.13538345118949,61.8073664265711,38.8126976602816,156.216992278188,124.59150974963,32.0091149486702,0.820988467115682,38.6553699912939,94.4207011640742,29.0782775999107,11.3744234837758,69.7730448393243
"AS11_Sweet_corn_population",8.40361363237733,60.6431118519859,50.1395701969923,174.944840422773,137.52939822834,36.9678660020185,0.109773630634381,37.4782600429384,109.171661587151,31.5698633130014,15.021190605955,65.1107494841993,8.30367862840566,60.3337121380335,48.1892933324625,172.5445988347,135.074200476146,36.3243315504438,0.534297462210979,38.8608009520335,112.112590688025,32.0005508486547,14.8132621113898,63.3840114036565
"AS12",2.04598236825388,65.2695125054057,34.5356718029664,139.863446535041,113.996455322253,25.8634160598663,1.52519306925454,62.5149895411327,118.430373032748,33.3629674676003,13.5821723807,15.7509411913151,3.34253619771231,63.9912476792308,34.4820575643049,140.094461626363,113.526268029905,27.5993903800107,1.5020718570889,58.6577740484875,119.694703449282,33.4918856119088,13.5751224473944,23.4554351670927
"Atkinson",8.83224092139933,56.5786136323891,37.8759469457474,177.137816124154,131.799971085057,45.422718194355,2.57885268103436,48.6423426638579,136.374865049198,33.3030928857877,9.57819264468901,68.7623256038752,8.60584136662272,57.05657249264,37.4675137325989,174.283420808126,129.668180535637,42.7535042312082,2.2433686775899,47.9462595743082,134.874032552521,33.5660281652812,10.1436105682831,66.1762988260165
"Aunt_Marys",10.1553747695539,56.0139048972247,57.3488808703594,191.769583225158,150.102222472627,41.9726170110176,2.94764646955077,56.5143974330979,150.655740601266,35.5859369256783,8.0432757717326,38.3550465952054,9.3282624035844,56.5805141441319,54.586472558468,187.904122677435,146.390732476016,40.158516707264,2.54208157841076,54.1074774941761,146.595017195043,35.2013284020424,8.80551768659662,41.5018774204745
"B5765",8.33224092139933,63.0786136323891,30.3759469457474,130.137816124154,102.299971085057,27.9227181943551,1.57885268103437,40.6423426638579,129.874865049198,33.8030928857877,11.078192644689,64.9123256038752,8.21489158801407,62.2834247750792,30.8951075250212,131.115446061325,102.87330260112,29.1711679668852,1.55493143307187,41.6069334192796,129.4479036853,33.97423155209,11.4280634668726,63.0305186363468
"B5870",9.62682708993029,61.6403055506444,42.7449824763334,150.188189337426,115.06927956654,35.3681670688655,1.36306590817093,42.5511269312923,160.414452046863,31.8790410802772,12.6042575464776,73.5452383023212,9.25658814240861,61.0421808057045,41.7555576179874,149.48394640837,114.397339140048,34.9261762905139,1.44454423973459,43.0002355848656,154.594524484548,32.2024259104,12.7051896169594,70.6579024921116
